Link,Bedrooms,Bathrooms,Area,Price,Price_per_meter,Address,City,Location1,Location2,Unit,Type,Rent_sale
https://remax.com.eg/property/for-sale-120-sqm-apartment-in-hadayek-al-qubba-6258,3,2,120,"EGP 2,000,000",16666.67,"Hadayek El Kobba - Cairo , Egypt",Cairo,Hadayek El Kobba,None,Apartment,Residential,Rent
https://remax.com.eg/property/apartment-for-sale-in-port-said-200m-6259,3,3,200,"EGP 15,000,000",75000.0,"Port Foad - Port Saeed , Egypt",Port Saeed,Port Foad,None,Apartment,Residential,Rent
https://remax.com.eg/property/for-sale-ground-floor-apartment-with-a-garden-in-b7-madinaty-6272,2,2,89,"EGP 5,500,000",61797.75,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,Sale
https://remax.com.eg/property/for-sale-ground-floor-apartment-with-a-garden-in-b12-madinaty-6270,1,1,67,"EGP 3,000,000",44776.12,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,Sale
https://remax.com.eg/property/duplex-800-sqm-for-sale-in-heliopolis-6260,6,5,800,"EGP 16,000,000",20000.0,"El Nozha - Cairo , Egypt",Cairo,El Nozha,None,Apartment,Residential,Rent
https://remax.com.eg/property/chalet-for-sale-110mgarden-120m-in-golden-beach-1-6255,2,1,110,"EGP 2,500,000",22727.27,"Ras Sedr - South Sainai , Egypt",South Sainai,Ras Sedr,None,Apartment,Residential,Rent
https://remax.com.eg/property/for-sale-a-ground-floor-apartment-with-a-garden-in-madinaty-b14-6269,2,1,92,"EGP 6,223,000",67641.3,"Madinaty - Cairo , Egypt",Cairo,Madinaty,None,Apartment,Residential,Sale
https://remax.com.eg/property/1-bedroom-apartment-for-rent-in-palm-parks-6262,1,1,100,"EGP 27,000",270.0,"6 October City - Giza , Egypt",Giza,6 October City,None,Apartment,Residential,Rent
https://remax.com.eg/property/apartment-214-sqm-for-sale-in-al-narges-buildings-6253,2,2,214,"EGP 7,500,000",35046.73,"New Cairo City - Cairo , Egypt",Cairo,New Cairo City,None,Apartment,Residential,Rent
https://remax.com.eg/property/apartment-210-m-for-sale-in-the-square-compound-6251,4,3,210,"EGP 10,000,000",47619.05,"New Cairo City - Cairo , Egypt",Cairo,New Cairo City,None,Apartment,Residential,Rent
https://remax.com.eg/property/building-322-m-in-el-nozha-heliopolis-6250,9,9,322,"EGP 20,000,000",62111.8,"Heliopolis - Cairo , Egypt",Cairo,Heliopolis,None,Apartment,Residential,Rent
https://remax.com.eg/property/shop-for-rent-40-sqm-in-heliopolis-4730,1,1,40,"EGP 50,000",1250.0,"Heliopolis - Cairo , Egypt",Cairo,Heliopolis,None,Apartment,Commercial,Rent
https://remax.com.eg/property/apartment-for-rent-125-m²-sheraton-6249,2,1,125,"EGP 40,000",320.0,"El Nozha - Cairo , Egypt",Cairo,El Nozha,None,Apartment,Residential,Rent
https://remax.com.eg/property/apartment-for-sale-off-marghany-st-heliopolis-4873,4,3,350,"EGP 8,750,000",25000.0,"Heliopolis - Cairo , Egypt",Cairo,Heliopolis,None,Apartment,Residential,Sale
https://remax.com.eg/property/apartment-for-sale-150-m-in-new-nozha-6247,3,1,150,"EGP 6,000,000",40000.0,"El Nozha - Cairo , Egypt",Cairo,El Nozha,None,Apartment,Residential,Rent
https://remax.com.eg/property/apartment-for-sale-65-m-stanley-steps-from-the-sea-5222,1,1,65,"EGP 1,850,000",28461.54,"Hay Sharq - Alexandria , Egypt",Alexandria,Hay Sharq,None,Apartment,Residential,Rent
https://remax.com.eg/property/super-lux-apartment-320-m-for-rent-in-sheraton-6254,5,4,320,"EGP 30,000",93.75,"El Nozha - Cairo , Egypt",Cairo,El Nozha,None,Apartment,Residential,Rent
https://remax.com.eg/property/apartment-for-sale-250-m-rushdy-ibrahim-helmy-street-4548,3,2,250,"EGP 7,500,000",30000.0,"Hay Sharq - Alexandria , Egypt",Alexandria,Hay Sharq,None,Apartment,Residential,Rent
